vessel_id,vessel_type,capacity_tonnes,cargo_load_tonnes,engine_power_kw,speed_knots,distance_nm,wind_speed_knots,wave_height_m,current_speed_knots,weather_condition,fuel_type,fuel_price,fuel_consumed_litres,co2_emission_kg,travel_time_hours,route_id,origin_port,destination_port,deadline_hours
V-02,Container,85000.0,63906.7,48000.0,18.1,7941.4,12.3,1.31,0.33,Moderate,MGO,0.671,2174413.0,5994856.6,446.8,R-ANR-SSZ,ANR,SSZ,604.1
V-05,Oil Tanker,110000.0,82696.9,16000.0,13.7,1198.7,10.9,1.38,0.74,Moderate,LNG,0.288,369278.8,457167.2,89.96,R-RTM-PUS,RTM,PUS,127.5
V-08,LNG Carrier,80000.0,64940.5,24000.0,20.0,1166.5,16.9,1.27,0.64,Moderate,LNG,0.288,654363.7,810102.3,60.12,R-PAN-BOM,PAN,BOM,67.7
V-08,LNG Carrier,80000.0,57450.1,24000.0,14.1,2211.1,7.5,0.71,0.34,Calm,Biofuel,0.836,375462.3,379967.8,156.1,R-SHA-SUZ,SHA,SUZ,198.8
V-07,LNG Carrier,95000.0,83925.2,28000.0,13.4,1428.3,24.0,2.78,1.03,Rough,LNG,0.288,441159.0,546154.8,112.73,R-CMB-SGP,CMB,SGP,160.3
V-02,Container,85000.0,73520.6,48000.0,18.3,3173.2,9.0,0.64,0.7,Calm,HFO,0.512,662309.3,2031302.6,167.1,R-CMB-LAX,CMB,LAX,204.9
V-09,Ro-Ro Ferry,18000.0,11282.5,19000.0,21.4,441.3,7.0,0.77,0.55,Calm,MGO,0.671,56800.3,156598.4,21.02,R-LAX-SUZ,LAX,SUZ,30.1
V-04,Bulk Carrier,60000.0,48273.8,9800.0,12.4,6451.4,13.9,1.7,1.38,Moderate,MGO,0.671,674428.2,1859398.5,479.9,R-LAX-SGP,LAX,SGP,647.8
V-09,Ro-Ro Ferry,18000.0,13843.0,19000.0,21.1,5228.8,11.2,1.45,1.94,Moderate,Electric,0.42,221062.9,77372.0,228.15,R-PAN-ANR,PAN,ANR,255.0
V-06,Oil Tanker,150000.0,111677.1,22000.0,15.6,3580.5,7.5,0.74,0.08,Calm,HFO,0.512,738626.6,2265367.8,230.45,R-SGP-DXB,SGP,DXB,283.7
V-10,Ro-Ro Ferry,22000.0,20569.2,21000.0,17.0,1378.5,5.6,0.63,0.18,Calm,Biofuel,0.836,132080.6,133665.6,80.49,R-CMB-RTM,CMB,RTM,115.8
V-09,Ro-Ro Ferry,18000.0,11886.2,19000.0,22.3,5522.0,19.4,3.14,0.51,Rough,MGO,0.671,1106206.9,3049812.4,253.2,R-CMB-LAX,CMB,LAX,324.1
V-03,Bulk Carrier,75000.0,67452.3,12000.0,16.7,3428.5,25.2,2.93,0.23,Rough,MGO,0.671,761348.8,2099038.6,207.81,R-SHA-PUS,SHA,PUS,272.6
V-03,Bulk Carrier,75000.0,66833.7,12000.0,15.3,10148.2,13.6,1.29,1.36,Moderate,HFO,0.512,1476624.8,4528808.3,617.66,R-LAX-BOM,LAX,BOM,682.3
V-09,Ro-Ro Ferry,18000.0,14981.4,19000.0,18.2,7623.6,14.3,2.19,1.5,Moderate,Electric,0.42,297280.3,104048.1,434.46,R-PUS-RTM,PUS,RTM,486.3
V-09,Ro-Ro Ferry,18000.0,10229.2,19000.0,16.7,9071.9,14.4,1.79,0.95,Moderate,MGO,0.671,830278.3,2289077.3,565.58,R-PUS-SGP,PUS,SGP,663.1
V-02,Container,85000.0,69666.4,48000.0,21.2,9070.9,14.4,2.21,0.69,Moderate,MGO,0.671,2998608.6,8267163.9,441.07,R-SHA-SGP,SHA,SGP,541.0
V-06,Oil Tanker,150000.0,101811.5,22000.0,14.5,2920.7,15.8,1.54,0.23,Moderate,MGO,0.671,580785.6,1601225.9,201.46,R-SGP-ANR,SGP,ANR,287.1
V-09,Ro-Ro Ferry,18000.0,9812.1,19000.0,19.2,1561.2,15.9,1.3,0.11,Moderate,Electric,0.42,56218.0,19676.3,81.77,R-DXB-PAN,DXB,PAN,96.2
V-05,Oil Tanker,110000.0,88354.3,16000.0,13.8,6482.3,13.9,1.66,1.31,Moderate,LNG,0.288,1719135.6,2128289.9,431.2,R-DXB-SHA,DXB,SHA,621.3
V-08,LNG Carrier,80000.0,57160.2,24000.0,15.3,4189.9,15.4,1.63,0.7,Moderate,Biofuel,0.836,882624.8,893216.3,286.85,R-LAX-ANR,LAX,ANR,362.5
V-03,Bulk Carrier,75000.0,71332.1,12000.0,13.6,2768.9,10.5,1.82,0.18,Moderate,HFO,0.512,330972.3,1015092.0,205.6,R-LAX-SSZ,LAX,SSZ,242.4
V-04,Bulk Carrier,60000.0,49427.0,9800.0,13.2,8763.2,38.2,6.18,0.43,Stormy,Biofuel,0.836,1843803.2,1865928.8,686.16,R-LAX-DXB,LAX,DXB,808.6
V-08,LNG Carrier,80000.0,66838.5,24000.0,15.9,8782.0,13.4,2.16,0.03,Moderate,LNG,0.288,3061193.0,3789756.9,552.08,R-PAN-SHA,PAN,SHA,712.8
V-09,Ro-Ro Ferry,18000.0,12281.4,19000.0,21.0,5073.0,26.3,2.91,0.39,Rough,Electric,0.42,257892.7,90262.4,240.96,R-SGP-SUZ,SGP,SUZ,290.1
V-03,Bulk Carrier,75000.0,51678.8,12000.0,14.4,444.6,17.8,1.84,0.08,Moderate,HFO,0.512,55724.4,170906.7,31.05,R-PAN-SSZ,PAN,SSZ,41.4
V-01,Container,120000.0,91346.9,65000.0,20.1,2026.6,7.2,1.03,0.58,Calm,LNG,0.288,932555.5,1154503.7,100.16,R-PAN-SUZ,PAN,SUZ,135.1
V-08,LNG Carrier,80000.0,60236.2,24000.0,17.5,645.1,9.5,0.59,0.53,Calm,LNG,0.288,247488.5,306390.8,36.67,R-RTM-PAN,RTM,PAN,45.8
V-09,Ro-Ro Ferry,18000.0,10327.7,19000.0,20.1,725.3,13.3,1.33,0.37,Moderate,MGO,0.671,84674.6,233447.9,36.43,R-SSZ-RTM,SSZ,RTM,49.9
V-03,Bulk Carrier,75000.0,55790.0,12000.0,11.2,2804.2,6.2,0.58,0.14,Calm,HFO,0.512,232975.4,714535.6,247.72,R-PUS-BOM,PUS,BOM,347.9
V-07,LNG Carrier,95000.0,87468.2,28000.0,14.3,1537.5,17.5,2.0,0.72,Moderate,Biofuel,0.836,300362.8,303967.2,111.24,R-PUS-SHA,PUS,SHA,142.9
V-07,LNG Carrier,95000.0,57824.5,28000.0,19.1,2575.9,13.9,2.04,0.84,Moderate,MGO,0.671,780497.8,2151832.4,137.6,R-RTM-DXB,RTM,DXB,185.2
V-03,Bulk Carrier,75000.0,64834.7,12000.0,13.2,8711.2,43.6,7.01,0.26,Stormy,MGO,0.671,2171864.1,5987829.3,673.19,R-CMB-ANR,CMB,ANR,975.7
V-07,LNG Carrier,95000.0,87052.9,28000.0,18.4,743.1,13.5,2.33,0.87,Moderate,MGO,0.671,230237.6,634765.1,41.16,R-CMB-RTM,CMB,RTM,53.7
V-06,Oil Tanker,150000.0,138882.3,22000.0,12.4,4034.2,13.6,2.2,0.16,Moderate,MGO,0.671,690512.8,1903743.8,326.41,R-CMB-SHA,CMB,SHA,353.6
V-09,Ro-Ro Ferry,18000.0,14399.9,19000.0,19.0,1527.3,10.8,1.9,0.12,Moderate,Electric,0.42,57124.8,19993.7,79.92,R-SHA-SUZ,SHA,SUZ,106.9
V-04,Bulk Carrier,60000.0,50789.1,9800.0,15.1,1935.7,9.5,1.16,0.06,Calm,MGO,0.671,300774.7,829235.8,127.84,R-SHA-CMB,SHA,CMB,169.6
V-06,Oil Tanker,150000.0,140030.8,22000.0,16.3,5780.1,14.8,2.35,0.32,Moderate,MGO,0.671,1544820.9,4259071.2,360.28,R-SSZ-PAN,SSZ,PAN,450.1
V-03,Bulk Carrier,75000.0,66636.3,12000.0,13.4,6639.6,12.4,1.67,0.19,Moderate,HFO,0.512,766440.2,2350672.1,499.31,R-DXB-RTM,DXB,RTM,539.4
V-06,Oil Tanker,150000.0,117733.1,22000.0,11.8,1963.8,29.8,6.76,0.04,Stormy,HFO,0.512,391526.9,1200813.0,165.91,R-SHA-LAX,SHA,LAX,196.9
V-05,Oil Tanker,110000.0,98024.2,16000.0,12.0,2485.6,15.4,1.33,1.58,Moderate,HFO,0.512,364080.0,1116633.4,212.32,R-LAX-BOM,LAX,BOM,307.3
V-10,Ro-Ro Ferry,22000.0,16865.2,21000.0,19.0,2385.5,13.1,1.94,1.53,Moderate,LNG,0.288,434141.8,537467.5,120.32,R-PAN-SSZ,PAN,SSZ,151.1
V-03,Bulk Carrier,75000.0,70488.7,12000.0,13.5,8230.6,17.8,2.1,0.19,Moderate,HFO,0.512,1169383.2,3586498.3,617.8,R-BOM-SHA,BOM,SHA,803.7
V-07,LNG Carrier,95000.0,82509.1,28000.0,17.9,4479.2,15.4,1.56,0.11,Moderate,LNG,0.288,2002919.6,2479614.5,250.34,R-SHA-PAN,SHA,PAN,331.0
V-01,Container,120000.0,94515.3,65000.0,20.5,1924.8,7.0,1.01,1.61,Calm,LNG,0.288,1014001.4,1255333.7,100.99,R-ANR-RTM,ANR,RTM,131.5
V-02,Container,85000.0,61507.3,48000.0,19.3,3290.8,12.0,1.29,0.41,Moderate,LNG,0.288,1418270.7,1755819.1,174.17,R-DXB-BOM,DXB,BOM,242.6
V-10,Ro-Ro Ferry,22000.0,21337.5,21000.0,17.8,1918.9,9.8,0.6,0.74,Calm,MGO,0.671,197681.5,545007.9,112.34,R-BOM-DXB,BOM,DXB,134.0
V-03,Bulk Carrier,75000.0,61561.4,12000.0,11.9,3076.7,6.1,0.79,1.55,Calm,MGO,0.671,329660.7,908874.5,289.21,R-BOM-SHA,BOM,SHA,414.4
V-01,Container,120000.0,101102.9,65000.0,19.6,320.9,5.1,1.18,0.42,Calm,LNG,0.288,138031.4,170882.9,16.73,R-BOM-PUS,BOM,PUS,19.8
V-01,Container,120000.0,98442.5,65000.0,17.5,400.2,7.1,0.73,0.01,Calm,HFO,0.512,95670.2,293420.5,22.87,R-SHA-SUZ,SHA,SUZ,31.7
V-01,Container,120000.0,109785.1,65000.0,17.0,3506.3,14.4,1.42,0.01,Moderate,LNG,0.288,1342274.5,1661735.8,206.35,R-SHA-ANR,SHA,ANR,277.7
V-09,Ro-Ro Ferry,18000.0,16369.3,19000.0,17.1,840.6,11.2,1.35,0.02,Moderate,Electric,0.42,23227.8,8129.7,49.18,R-DXB-CMB,DXB,CMB,66.4
V-10,Ro-Ro Ferry,22000.0,21438.5,21000.0,20.9,4407.8,9.9,1.13,1.58,Calm,Biofuel,0.836,592380.0,599488.6,196.28,R-PAN-LAX,PAN,LAX,228.6
V-01,Container,120000.0,98173.4,65000.0,18.2,9707.2,16.6,1.53,0.44,Moderate,LNG,0.288,3755637.0,4649478.6,520.91,R-DXB-LAX,DXB,LAX,685.1
V-04,Bulk Carrier,60000.0,44755.8,9800.0,13.9,1742.8,15.4,1.96,0.55,Moderate,Biofuel,0.836,269865.0,273103.4,130.43,R-PUS-PAN,PUS,PAN,188.4
V-02,Container,85000.0,62770.1,48000.0,16.9,7851.6,27.8,4.38,1.11,Rough,LNG,0.288,3773735.5,4671884.5,496.77,R-DXB-SSZ,DXB,SSZ,660.4
V-05,Oil Tanker,110000.0,81648.4,16000.0,12.3,2094.5,19.6,4.06,1.55,Rough,LNG,0.288,520055.6,643828.8,151.56,R-BOM-DXB,BOM,DXB,174.3
V-01,Container,120000.0,92178.3,65000.0,18.0,6542.9,17.8,2.35,0.49,Moderate,LNG,0.288,2647956.1,3278169.7,357.07,R-SGP-BOM,SGP,BOM,463.2
V-06,Oil Tanker,150000.0,110152.2,22000.0,10.4,3846.8,17.7,2.44,0.48,Moderate,MGO,0.671,500301.0,1379329.9,387.75,R-ANR-SHA,ANR,SHA,522.3
V-05,Oil Tanker,110000.0,75910.5,16000.0,13.4,2956.9,5.3,1.14,0.58,Calm,LNG,0.288,761110.0,942254.2,213.07,R-DXB-LAX,DXB,LAX,268.9
V-01,Container,120000.0,102115.5,65000.0,20.3,741.1,8.5,0.67,0.06,Calm,LNG,0.288,374832.3,464042.4,36.54,R-SUZ-SSZ,SUZ,SSZ,51.7
V-01,Container,120000.0,104990.5,65000.0,16.8,691.0,26.3,2.68,0.12,Rough,HFO,0.512,168981.6,518266.6,41.26,R-RTM-LAX,RTM,LAX,56.9
V-02,Container,85000.0,73217.8,48000.0,16.5,1046.6,11.6,1.29,0.37,Moderate,HFO,0.512,238156.2,730425.1,64.73,R-SGP-RTM,SGP,RTM,82.4
V-09,Ro-Ro Ferry,18000.0,13524.5,19000.0,16.3,2893.1,12.9,1.51,0.1,Moderate,Electric,0.42,81778.4,28622.4,177.58,R-LAX-PAN,LAX,PAN,204.5
V-05,Oil Tanker,110000.0,81644.1,16000.0,15.1,7704.9,10.2,2.11,0.05,Moderate,HFO,0.512,1474484.1,4522242.7,509.55,R-PUS-LAX,PUS,LAX,633.8
V-03,Bulk Carrier,75000.0,49891.5,12000.0,13.0,994.3,26.8,3.26,0.08,Rough,MGO,0.671,138249.5,381153.9,76.54,R-PUS-ANR,PUS,ANR,107.0
V-07,LNG Carrier,95000.0,81679.1,28000.0,19.5,2261.3,10.4,2.17,0.29,Moderate,LNG,0.288,1199988.8,1485586.1,116.19,R-PUS-PAN,PUS,PAN,151.2
V-04,Bulk Carrier,60000.0,51850.8,9800.0,12.8,2712.4,10.2,2.0,1.94,Moderate,MGO,0.671,295485.8,814654.4,189.19,R-RTM-SSZ,RTM,SSZ,258.9
V-01,Container,120000.0,93379.9,65000.0,17.5,9786.9,14.4,1.52,0.75,Moderate,LNG,0.288,3942315.4,4880586.5,572.1,R-BOM-RTM,BOM,RTM,829.3
V-04,Bulk Carrier,60000.0,49012.5,9800.0,15.1,1712.1,15.0,2.27,0.73,Moderate,MGO,0.671,274752.0,757491.3,112.19,R-SGP-BOM,SGP,BOM,146.9
V-09,Ro-Ro Ferry,18000.0,14491.7,19000.0,16.5,5738.5,10.0,1.96,0.04,Moderate,Electric,0.42,172921.3,60522.5,348.06,R-PUS-BOM,PUS,BOM,395.6
V-06,Oil Tanker,150000.0,138322.8,22000.0,12.4,2638.3,6.6,0.77,0.45,Calm,HFO,0.512,362537.7,1111903.1,217.0,R-PAN-LAX,PAN,LAX,280.2
V-02,Container,85000.0,67992.6,48000.0,16.2,3178.0,19.9,3.82,0.05,Rough,HFO,0.512,699666.6,2145877.5,196.52,R-SSZ-SGP,SSZ,SGP,224.3
V-09,Ro-Ro Ferry,18000.0,12440.4,19000.0,19.1,2675.6,13.9,1.36,0.48,Moderate,Electric,0.42,98190.3,34366.6,143.09,R-DXB-PAN,DXB,PAN,167.2
V-09,Ro-Ro Ferry,18000.0,15868.5,19000.0,18.7,3043.0,30.2,4.72,2.7,Stormy,Electric,0.42,139444.1,48805.4,155.17,R-SGP-PAN,SGP,PAN,218.1
V-01,Container,120000.0,96211.1,65000.0,19.5,4165.9,15.4,2.1,0.07,Moderate,HFO,0.512,1099908.6,3373419.7,213.23,R-CMB-SGP,CMB,SGP,250.5
V-04,Bulk Carrier,60000.0,37792.7,9800.0,13.5,2559.4,13.3,2.08,0.22,Moderate,MGO,0.671,336949.1,928968.7,192.06,R-ANR-PUS,ANR,PUS,215.1
V-06,Oil Tanker,150000.0,99883.9,22000.0,12.7,3011.1,10.7,2.12,0.32,Moderate,HFO,0.512,430008.0,1318834.5,231.51,R-SSZ-BOM,SSZ,BOM,285.2
V-06,Oil Tanker,150000.0,140462.4,22000.0,13.8,3231.0,9.6,0.85,0.72,Calm,HFO,0.512,518497.8,1590232.8,230.44,R-DXB-ANR,DXB,ANR,263.6
V-08,LNG Carrier,80000.0,77324.4,24000.0,17.3,5076.6,10.4,2.41,0.66,Moderate,Biofuel,0.836,1530100.7,1548461.9,303.58,R-SSZ-CMB,SSZ,CMB,384.2
V-10,Ro-Ro Ferry,22000.0,21088.0,21000.0,21.1,1561.8,6.2,0.6,0.13,Calm,LNG,0.288,342255.9,423712.8,73.85,R-SUZ-RTM,SUZ,RTM,106.2
V-07,LNG Carrier,95000.0,68243.9,28000.0,17.8,1241.4,11.9,1.99,0.72,Moderate,LNG,0.288,487327.1,603310.9,68.04,R-CMB-SGP,CMB,SGP,74.4
V-06,Oil Tanker,150000.0,99657.0,22000.0,11.9,3118.5,16.7,1.63,2.36,Moderate,MGO,0.671,541674.3,1493396.0,306.35,R-SGP-PAN,SGP,PAN,437.0
V-03,Bulk Carrier,75000.0,57370.9,12000.0,15.0,2589.7,17.9,1.38,0.18,Moderate,HFO,0.512,351899.5,1079275.8,170.68,R-BOM-DXB,BOM,DXB,201.4
V-09,Ro-Ro Ferry,18000.0,16264.6,19000.0,20.1,2285.0,14.8,1.38,0.25,Moderate,Electric,0.42,84741.2,29659.4,114.44,R-RTM-SHA,RTM,SHA,140.4
V-01,Container,120000.0,99252.8,65000.0,19.4,1265.6,12.7,1.37,1.83,Moderate,HFO,0.512,359397.6,1102272.4,66.97,R-ANR-LAX,ANR,LAX,90.2
V-05,Oil Tanker,110000.0,95537.1,16000.0,13.1,3311.8,41.1,5.71,0.31,Stormy,HFO,0.512,812142.8,2490842.0,249.65,R-PUS-ANR,PUS,ANR,340.9
V-09,Ro-Ro Ferry,18000.0,12880.7,19000.0,18.3,4494.4,14.7,2.07,0.49,Moderate,MGO,0.671,459882.4,1267895.8,244.64,R-SSZ-SHA,SSZ,SHA,330.4
V-02,Container,85000.0,49903.1,48000.0,13.5,1036.7,21.2,4.45,0.3,Rough,HFO,0.512,184851.2,566938.6,75.2,R-ANR-PUS,ANR,PUS,105.0
V-06,Oil Tanker,150000.0,142493.8,22000.0,12.6,1502.1,12.1,2.09,0.46,Moderate,MGO,0.671,256435.8,706993.5,116.82,R-BOM-SGP,BOM,SGP,139.4
V-10,Ro-Ro Ferry,22000.0,17292.0,21000.0,17.7,6629.0,12.8,2.18,0.1,Moderate,Biofuel,0.836,727009.1,735733.2,372.75,R-SUZ-RTM,SUZ,RTM,455.2
V-05,Oil Tanker,110000.0,106016.8,16000.0,12.4,610.3,14.9,2.34,1.13,Moderate,LNG,0.288,184933.3,228947.4,54.15,R-SSZ-BOM,SSZ,BOM,76.0
V-06,Oil Tanker,150000.0,134793.4,22000.0,13.5,355.5,7.8,1.11,1.35,Calm,HFO,0.512,63453.3,194611.3,29.23,R-PUS-SUZ,PUS,SUZ,41.1
V-01,Container,120000.0,112436.6,65000.0,18.6,329.2,14.0,1.9,0.2,Moderate,LNG,0.288,148961.4,184414.2,17.56,R-PUS-DXB,PUS,DXB,19.6
V-09,Ro-Ro Ferry,18000.0,12619.0,19000.0,20.8,788.3,13.9,1.77,0.65,Moderate,MGO,0.671,112705.7,310729.6,36.85,R-ANR-SSZ,ANR,SSZ,45.7
V-01,Container,120000.0,110237.4,65000.0,19.0,1731.0,11.5,1.25,0.34,Moderate,HFO,0.512,453752.0,1391657.4,89.51,R-DXB-SSZ,DXB,SSZ,104.1
V-03,Bulk Carrier,75000.0,57197.7,12000.0,11.8,3145.2,11.2,1.48,0.08,Moderate,HFO,0.512,287175.6,880767.6,265.55,R-SGP-SHA,SGP,SHA,332.8
V-09,Ro-Ro Ferry,18000.0,16504.8,19000.0,21.2,4754.6,8.4,0.79,0.03,Calm,MGO,0.671,709962.0,1957365.2,224.43,R-DXB-SHA,DXB,SHA,311.2
V-06,Oil Tanker,150000.0,112624.4,22000.0,12.6,915.4,8.9,0.84,0.07,Calm,MGO,0.671,136679.5,376825.4,72.54,R-SUZ-SSZ,SUZ,SSZ,86.5
V-03,Bulk Carrier,75000.0,61296.6,12000.0,12.3,552.3,10.1,2.05,0.28,Moderate,HFO,0.512,54117.8,165979.3,44.29,R-RTM-SHA,RTM,SHA,57.1
V-06,Oil Tanker,150000.0,115041.7,22000.0,13.8,1922.0,10.4,1.34,1.52,Moderate,MGO,0.671,328133.3,904663.5,135.34,R-SHA-ANR,SHA,ANR,153.0
V-07,LNG Carrier,95000.0,79956.6,28000.0,17.3,3829.3,12.9,2.19,0.22,Moderate,MGO,0.671,822974.8,2268941.5,219.1,R-LAX-BOM,LAX,BOM,252.2
V-02,Container,85000.0,41501.9,48000.0,16.1,2551.0,9.9,0.92,0.31,Calm,MGO,0.671,462297.3,1274553.7,156.81,R-CMB-ANR,CMB,ANR,172.2
V-02,Container,85000.0,78377.3,48000.0,18.9,354.4,14.7,2.17,0.39,Moderate,LNG,0.288,139567.1,172784.1,18.4,R-SSZ-SUZ,SSZ,SUZ,26.1
V-06,Oil Tanker,150000.0,112601.7,22000.0,11.4,493.1,9.1,0.53,0.17,Calm,MGO,0.671,56848.9,156732.4,42.96,R-LAX-DXB,LAX,DXB,59.3
V-02,Container,85000.0,72780.6,48000.0,19.7,8583.2,5.7,0.81,0.54,Calm,HFO,0.512,2065092.1,6333637.5,433.71,R-SHA-CMB,SHA,CMB,523.1
V-05,Oil Tanker,110000.0,83929.5,16000.0,13.7,7806.4,43.2,6.35,0.26,Stormy,LNG,0.288,3596929.7,4452999.0,560.1,R-PAN-SUZ,PAN,SUZ,655.4
V-03,Bulk Carrier,75000.0,63335.0,12000.0,11.1,1854.4,20.1,4.38,0.25,Rough,MGO,0.671,215475.9,594067.1,164.49,R-PUS-SSZ,PUS,SSZ,208.4
V-09,Ro-Ro Ferry,18000.0,16641.6,19000.0,17.5,560.7,24.8,3.79,1.67,Rough,Electric,0.42,19607.7,6862.7,29.67,R-DXB-PAN,DXB,PAN,42.2
V-08,LNG Carrier,80000.0,66536.1,24000.0,17.1,720.1,7.5,0.91,0.72,Calm,Biofuel,0.836,189583.2,191858.2,42.0,R-DXB-RTM,DXB,RTM,53.9
